Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26,Coluna 27,Coluna 28,Coluna 29,Coluna 30,Coluna 31,Coluna 32,Coluna 33,Coluna 34,Coluna 35,Coluna 36,Coluna 37,Coluna 38,Coluna 39,Coluna 40,Coluna 41,Coluna 42,Coluna 43,Coluna 44,Coluna 45,Coluna 46,Coluna 47,Coluna 48,Coluna 49,Coluna 50,Coluna 51,Coluna 52,Coluna 53,Coluna 54,Coluna 55,Coluna 56,Coluna 57,Coluna 58,Coluna 59,Coluna 60,Coluna 61,Coluna 62,Coluna 63,Coluna 64,Coluna 65,Coluna 66,Coluna 67,Coluna 68,Coluna 69,Coluna 70,Coluna 71,Coluna 72,Coluna 73,Coluna 74,Coluna 75,Coluna 76,Coluna 77,Coluna 78,Coluna 79,Coluna 80,Coluna 81,Coluna 82,Coluna 83,Coluna 84,Coluna 85,Coluna 86,Coluna 87,Coluna 88,Coluna 89,Coluna 90,Coluna 91,Coluna 92,Coluna 93,Coluna 94,Coluna 95,Coluna 96,Coluna 97,Coluna 98,Coluna 99,Coluna 100
D206Y1,770,25/07/2017,TER,4,2,5,2,2,2,2,2,2,2,2,2,2,10,5,8,10,3,10,4,4,9,4,6,9,2,7,7,8,8,9,7,2,9,6,6,5,3,10,7,2,3,6,3,7,8,8,7,5,4,3,8,9,6,5,6,8,6,3,6,8,3,2,2,5,6,10,5,4,3,6,8,5,5,4,3,5,4,9,8,4,5,3,3,8,3,6,7,3,7,9,10,7,7,10,7
D207Y1,774,26/07/2017,QUA,5,5,2,2,2,2,2,2,2,2,2,2,2,2,3,5,10,2,7,5,9,3,5,7,4,4,10,8,2,9,9,10,10,4,4,7,7,4,10,10,8,3,5,6,10,3,2,4,10,7,4,4,9,3,7,9,8,5,8,9,6,4,5,6,10,8,7,9,5,9,8,3,9,9,6,9,2,8,10,5,6,9,8,10,5,4,7,9,8,4,5,9,10,7,6,9
D208Y1,1080,27/07/2017,QUI,4,3,3,2,2,2,2,2,2,2,2,2,2,7,3,3,10,9,4,6,6,6,9,6,3,2,8,5,7,8,8,9,7,4,8,10,2,5,6,9,8,3,7,2,5,7,6,6,2,2,3,8,2,4,9,5,2,4,2,8,8,10,10,3,8,2,3,6,5,7,5,3,5,10,6,8,9,4,7,7,3,2,5,7,4,10,9,6,10,7,6,9,3,7,3,5
D209Y1,847,28/07/2017,SEX,3,4,3,2,2,2,2,2,2,2,2,2,2,3,2,2,6,9,5,2,10,7,8,5,4,4,10,5,3,3,2,8,4,5,6,10,10,2,3,5,5,5,8,2,5,3,10,5,5,7,4,5,4,3,7,10,5,7,8,8,9,6,7,6,8,4,7,4,8,5,7,3,3,3,2,3,8,8,6,5,3,7,9,7,10,5,8,7,2,5,7,6,6,10,7,3
D210Y1,803,29/07/2017,SÁB,3,5,4,2,2,2,2,2,2,2,2,2,2,4,9,3,3,8,5,10,2,6,7,3,10,2,9,5,7,9,6,5,10,4,10,4,6,10,9,5,4,2,4,4,5,3,10,8,7,7,9,8,8,5,3,10,4,3,6,7,6,2,5,4,7,4,10,3,6,9,2,7,6,8,6,4,7,4,8,3,5,3,9,7,2,9,3,6,6,5,3,3,10,3,4,9
D211Y1,817,30/07/2017,DOM,4,4,5,2,2,2,2,2,2,2,2,2,2,10,2,2,5,7,10,9,6,4,6,6,6,5,9,10,7,8,8,3,6,7,10,2,3,9,8,8,2,4,5,2,10,2,4,10,10,4,2,7,6,6,10,9,3,8,2,5,5,6,10,7,5,9,9,3,4,8,5,4,6,6,3,2,7,3,8,10,8,9,7,8,2,9,7,10,8,5,5,5,5,2,8,5
D212Y1,1038,31/07/2017,SEG,2,5,3,2,2,2,2,2,2,2,2,2,2,8,6,10,5,2,8,5,7,4,8,9,10,4,6,7,7,10,10,10,4,7,3,4,8,2,2,6,10,9,8,6,5,9,9,10,6,10,6,9,3,8,10,9,8,4,8,9,9,5,9,4,3,6,2,3,4,9,5,8,2,3,3,4,8,9,8,10,4,9,4,8,8,10,6,8,8,6,8,6,9,7,6,3
D213Y1,929,01/08/2017,TER,5,5,2,2,2,2,2,2,2,2,2,2,2,3,9,9,4,2,10,2,4,3,4,6,10,7,4,9,2,10,7,10,3,9,9,4,6,5,9,8,6,2,9,9,9,8,7,4,10,10,4,9,9,8,2,8,6,6,3,8,3,8,5,9,4,6,4,8,4,9,9,6,9,6,6,8,6,4,9,10,4,5,7,8,6,6,9,4,3,8,8,4,4,8,4,4
D214Y1,516,02/08/2017,QUA,5,5,2,2,2,2,2,2,2,2,2,2,2,3,5,6,2,10,7,6,2,10,4,9,6,7,3,2,3,7,9,9,6,3,6,7,8,4,4,8,9,3,5,10,3,2,9,10,10,4,7,10,6,3,9,6,10,4,6,2,9,2,10,8,10,4,6,4,2,4,9,8,10,10,8,8,6,8,6,7,8,9,8,8,9,5,4,3,3,6,9,7,9,7,9,2
D215Y1,875,03/08/2017,QUI,2,3,2,2,2,2,2,2,2,2,2,2,2,10,5,4,8,6,7,7,7,7,2,7,5,10,4,3,7,3,5,5,8,4,6,6,7,7,5,9,8,7,4,4,6,2,10,3,3,6,3,3,10,4,9,8,7,8,10,10,8,9,4,4,10,3,9,3,6,9,8,5,2,4,10,3,9,9,4,3,5,4,5,10,9,7,4,7,8,4,6,7,7,10,8,6
D216Y1,688,04/08/2017,SEX,5,2,5,2,2,2,2,2,2,2,2,2,2,2,4,10,2,6,3,6,3,8,3,3,2,6,4,2,8,9,2,10,3,5,9,10,6,2,9,4,2,3,10,8,4,4,8,6,7,9,3,6,6,2,5,9,10,8,10,2,7,5,3,5,2,8,8,3,4,4,7,7,2,6,6,3,9,2,7,2,10,10,3,6,7,5,10,3,10,2,2,2,2,5,10,4
D217Y1,1074,05/08/2017,SÁB,4,3,3,2,2,2,2,2,2,2,2,2,2,7,5,8,4,7,4,9,4,3,5,5,9,6,6,7,10,2,4,9,8,8,8,6,7,6,9,7,6,10,6,6,2,8,6,10,10,2,3,10,9,8,7,9,9,8,9,6,10,2,10,7,8,7,6,2,10,6,3,7,9,9,3,9,3,6,8,8,7,8,9,7,6,10,7,3,2,10,9,3,6,9,4,2
D218Y1,673,06/08/2017,DOM,4,5,4,2,2,2,2,2,2,2,2,2,2,9,10,6,10,7,9,8,6,7,8,4,6,6,2,3,9,2,2,6,2,2,9,10,8,9,10,6,5,2,10,8,8,2,3,2,3,8,8,4,9,8,8,5,10,10,3,2,9,6,2,5,7,3,5,3,3,2,7,4,6,8,4,9,9,5,5,10,6,10,5,2,10,3,10,5,4,10,9,2,2,3,3,5
D219Y1,732,07/08/2017,SEG,4,2,2,2,2,2,2,2,2,2,2,2,2,8,6,7,3,2,7,3,8,6,7,6,3,3,4,3,6,3,9,7,2,8,9,9,4,3,8,2,7,6,5,5,5,4,5,5,9,4,2,4,7,3,3,7,3,10,9,2,5,2,10,6,7,10,6,2,5,10,9,3,3,9,2,5,10,8,9,4,4,2,5,6,10,10,10,9,2,7,4,4,3,10,8,4
D220Y1,530,08/08/2017,TER,2,4,3,2,2,2,2,2,2,2,2,2,2,2,5,3,10,10,9,6,5,5,8,10,2,10,6,5,7,3,2,6,10,4,5,2,4,8,6,6,6,2,5,2,10,2,10,4,5,9,5,6,2,7,5,4,3,4,8,5,8,4,4,2,8,8,2,3,4,4,6,2,7,2,5,7,6,8,9,6,7,8,2,6,9,4,2,3,4,6,9,5,6,3,2,10
D221Y1,1189,09/08/2017,QUA,5,3,2,2,2,2,2,2,2,2,2,2,2,9,2,9,2,7,10,3,6,3,4,5,10,5,3,9,5,6,7,2,10,7,8,3,8,5,4,9,4,9,8,8,6,9,9,2,3,9,4,9,10,9,6,5,6,7,4,10,10,3,9,7,6,10,7,10,6,10,5,7,9,6,3,4,5,3,9,4,3,6,10,6,5,3,7,9,10,4,3,8,10,2,5,8
D222Y1,561,10/08/2017,QUI,4,5,5,2,2,2,2,2,2,2,2,2,2,5,5,6,5,6,5,9,4,5,2,8,8,8,10,10,10,2,6,5,9,6,3,6,7,6,7,9,6,9,7,6,7,3,10,4,7,5,7,4,9,6,6,9,4,3,10,6,2,8,7,2,6,10,3,3,9,6,9,8,6,2,2,7,6,4,5,6,3,6,2,10,6,8,10,4,4,4,10,7,8,8,10,7
D223Y1,1111,11/08/2017,SEX,4,3,4,2,2,2,2,2,2,2,2,2,2,7,4,8,6,6,7,10,3,7,8,8,8,3,7,7,2,9,7,3,6,4,2,4,4,6,3,6,6,7,8,2,4,7,3,3,9,4,5,9,4,8,4,2,4,4,10,4,8,10,5,6,9,9,10,3,3,3,6,3,6,2,5,8,9,5,7,2,4,9,2,2,9,5,5,6,4,10,2,3,5,4,8,2
D224Y1,774,12/08/2017,SÁB,2,5,2,2,2,2,2,2,2,2,2,2,2,5,5,9,4,6,8,9,6,8,6,5,3,3,10,6,8,2,5,10,6,9,5,7,6,4,2,10,8,8,5,4,3,4,5,4,8,5,5,4,8,5,9,8,3,4,7,8,9,6,4,5,10,2,7,8,8,10,9,7,2,4,6,8,7,5,3,2,8,3,3,9,6,8,4,10,9,2,3,7,2,6,9,3
D225Y1,989,13/08/2017,DOM,2,5,5,2,2,2,2,2,2,2,2,2,2,4,7,5,4,10,4,8,10,6,10,4,7,7,7,4,10,4,6,3,8,10,5,9,5,10,6,10,7,7,2,2,9,2,3,3,8,6,4,7,9,8,9,2,9,4,3,4,7,8,3,5,10,5,8,5,4,2,9,10,4,6,8,4,7,4,5,6,10,10,4,4,10,8,7,3,8,3,9,2,5,5,9,9
D226Y1,1030,14/08/2017,SEG,4,2,4,2,2,2,2,2,2,2,2,2,2,10,2,8,6,7,5,5,5,6,7,4,7,6,8,10,2,2,5,3,7,7,2,7,9,9,3,6,3,8,2,3,3,4,4,10,9,10,2,6,3,9,9,10,6,5,2,8,10,2,2,4,9,2,8,8,8,10,9,8,10,4,4,9,8,4,2,5,6,8,4,7,4,3,7,5,6,5,5,10,7,4,7,9
D227Y1,1112,15/08/2017,TER,2,2,5,2,2,2,2,2,2,2,2,2,2,6,3,9,4,6,2,6,6,6,8,10,5,5,9,10,6,6,6,7,9,10,8,10,5,8,5,5,6,3,7,4,3,2,7,9,10,3,2,10,3,10,9,2,2,7,5,10,4,10,6,7,6,8,8,10,5,5,3,10,10,7,6,7,2,6,4,5,9,10,7,6,2,6,9,3,9,10,5,10,6,6,8,6
D228Y1,748,16/08/2017,QUA,3,3,5,2,2,2,2,2,2,2,2,2,2,2,5,10,8,2,8,2,7,6,6,3,9,7,2,6,2,9,4,2,7,9,3,10,3,4,6,9,4,8,10,8,7,7,3,7,7,2,10,5,6,10,8,6,2,10,10,9,8,3,7,5,4,9,4,2,7,10,3,5,10,5,6,8,10,8,4,7,4,9,8,8,7,3,7,6,2,10,7,8,7,10,9,6
D229Y1,751,17/08/2017,QUI,3,3,5,2,2,2,2,2,2,2,2,2,2,4,8,7,2,10,8,2,8,9,6,5,3,3,7,8,10,9,8,8,9,9,3,6,9,3,7,2,5,5,10,8,3,2,6,8,10,5,5,9,2,4,6,3,3,4,7,7,2,9,3,7,7,10,6,3,2,4,10,2,2,6,2,9,4,7,2,8,3,5,10,9,6,3,5,7,6,3,8,6,8,6,6,5
D230Y1,544,18/08/2017,SEX,2,3,3,2,2,2,2,2,2,2,2,2,2,7,7,5,4,7,6,2,3,2,4,3,4,9,10,7,5,5,2,8,6,5,3,3,7,9,3,2,6,5,7,7,3,10,6,8,9,5,7,5,7,10,4,2,2,3,9,2,8,3,4,8,4,5,4,4,10,3,7,8,2,8,7,5,9,5,2,5,10,2,9,7,10,3,5,8,6,8,7,2,7,9,10,5
D231Y1,523,19/08/2017,SÁB,2,3,5,2,2,2,2,2,2,2,2,2,2,8,2,8,3,5,4,7,7,4,7,10,2,10,7,7,3,3,10,10,2,5,3,6,8,9,5,8,7,7,3,7,5,6,6,7,4,8,8,6,6,6,4,2,2,9,8,5,10,2,6,3,5,7,8,8,7,4,10,5,10,7,6,3,2,3,6,4,8,7,9,8,6,4,2,6,7,3,2,3,10,2,6,2
D232Y1,506,20/08/2017,DOM,4,2,4,2,2,2,2,2,2,2,2,2,2,4,10,3,3,2,9,3,8,7,2,2,2,6,5,4,2,10,7,7,2,2,6,3,4,7,5,7,2,3,6,9,2,9,9,7,4,2,5,5,2,5,10,5,7,6,6,8,6,10,6,5,3,6,9,4,7,3,4,10,3,10,6,9,7,6,5,9,4,3,8,2,3,3,5,5,4,2,10,4,5,5,3,9
D233Y1,975,21/08/2017,SEG,3,5,4,2,2,2,2,2,2,2,2,2,2,4,10,8,5,9,2,10,2,10,9,9,5,10,4,8,10,2,6,8,2,4,7,5,5,7,8,5,6,8,9,4,5,5,3,10,4,4,8,4,8,10,6,6,2,8,10,9,4,10,5,5,2,4,8,6,7,8,8,2,7,10,7,8,10,5,5,9,8,3,9,7,9,7,7,5,5,2,4,4,10,8,8,8
D234Y1,1075,22/08/2017,TER,5,4,3,2,2,2,2,2,2,2,2,2,2,7,3,6,3,2,5,10,3,10,8,6,8,8,4,3,9,4,5,9,2,7,8,4,9,10,10,10,10,2,6,3,3,9,7,6,9,8,4,4,5,10,5,4,5,8,7,3,10,2,7,3,3,4,6,7,3,9,9,9,8,2,5,8,4,6,9,3,6,10,6,4,7,5,6,2,6,9,8,3,8,5,3,3
D235Y1,789,23/08/2017,QUA,3,3,3,2,2,2,2,2,2,2,2,2,2,4,5,9,6,3,6,3,5,2,3,5,2,9,2,4,6,5,5,3,6,4,6,4,3,8,8,4,4,8,8,9,2,9,10,8,2,7,7,10,8,6,10,8,6,2,3,3,10,5,4,10,3,4,3,8,3,2,10,10,3,9,9,9,9,4,5,10,4,5,4,7,5,10,3,4,6,8,2,6,4,8,4,7
D236Y1,1130,24/08/2017,QUI,5,5,3,2,2,2,2,2,2,2,2,2,2,7,5,10,2,3,6,2,4,6,5,7,5,5,6,4,3,7,9,7,7,2,5,8,6,2,4,9,4,8,5,2,6,4,2,2,7,9,10,8,7,7,4,10,2,9,3,5,7,8,6,6,6,9,4,7,6,4,5,4,3,8,10,4,3,4,6,6,7,6,3,7,5,5,8,10,7,7,8,9,6,7,6,4
D237Y1,539,25/08/2017,SEX,4,5,4,2,2,2,2,2,2,2,2,2,2,3,8,6,8,5,4,6,7,3,7,2,3,9,10,9,2,3,2,3,6,4,6,8,2,4,4,7,2,4,9,8,6,8,5,4,4,8,4,9,10,9,4,8,2,10,6,7,3,7,4,7,3,9,8,3,8,6,4,10,10,7,4,3,3,4,3,9,10,10,5,2,2,3,9,9,8,4,9,6,7,2,9,6
D238Y1,1027,26/08/2017,SÁB,5,2,4,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,6,7,5,6,8,6,10,8,2,2,5,5,7,7,7,3,7,3,10,3,9,5,4,6,5,5,6,3,2,6,6,4,9,2,8,5,3,2,2,3,8,8,9,9,4,4,3,6,8,6,3,5,4,8,10,10,5,4,2,10,9,8,6,3,2,7,5,3,3,9,6,2,4,9,8,2,10,3
D239Y1,616,27/08/2017,DOM,3,2,4,2,2,2,2,2,2,2,2,2,2,5,2,5,3,4,3,4,2,5,3,10,3,6,9,8,10,10,7,8,4,3,7,10,9,7,8,9,7,8,6,5,9,9,8,2,10,3,10,7,4,10,2,5,2,10,5,7,8,8,9,6,2,4,2,4,6,5,8,9,10,9,10,4,3,7,9,9,6,4,4,7,9,6,8,5,4,3,7,6,7,8,7,2
D240Y1,1172,28/08/2017,SEG,5,2,3,2,2,2,2,2,2,2,2,2,2,7,10,4,5,6,5,9,5,3,3,9,6,10,10,4,8,4,8,10,2,4,4,10,2,5,2,10,3,3,9,9,7,5,3,3,7,8,2,3,2,3,9,7,5,5,4,8,4,9,9,6,8,9,7,3,5,4,10,3,7,8,8,3,7,10,2,6,5,8,10,7,5,8,10,3,2,4,3,8,9,8,7,6
D241Y1,680,29/08/2017,TER,5,4,4,2,2,2,2,2,2,2,2,2,2,7,4,2,5,10,4,7,6,10,10,9,3,2,9,10,6,10,6,2,6,2,3,8,6,9,5,10,10,4,9,5,5,8,3,8,2,6,2,10,6,2,2,6,10,10,5,10,10,7,3,5,8,7,7,3,6,5,8,2,3,6,2,10,9,8,5,4,10,8,5,3,5,8,6,10,5,7,8,6,2,5,9,7
D242Y1,502,30/08/2017,QUA,3,2,5,2,2,2,2,2,2,2,2,2,2,2,3,8,10,7,4,10,4,7,4,3,5,8,10,6,4,6,4,6,2,2,6,8,4,3,9,5,10,7,5,6,5,2,3,8,7,9,7,10,5,10,4,7,10,6,8,9,3,3,2,7,6,4,4,5,7,4,4,4,5,2,3,10,5,3,7,6,10,10,4,4,4,2,8,6,6,6,4,5,6,8,9,8
D243Y1,636,31/08/2017,QUI,4,5,4,2,2,2,2,2,2,2,2,2,2,4,7,6,4,6,8,8,2,2,3,5,4,7,2,5,6,2,9,2,2,8,7,9,6,3,10,10,8,8,4,10,3,4,3,3,9,9,4,5,6,8,2,8,5,7,5,4,9,4,9,5,10,3,3,6,5,6,10,9,5,7,6,8,3,2,5,7,5,4,9,3,9,7,10,6,8,6,9,10,5,4,3,8
D244Y1,670,01/09/2017,SEX,2,4,3,2,2,2,2,2,2,2,2,2,2,4,3,2,9,4,6,3,10,3,9,5,3,5,4,7,10,3,5,10,3,2,9,2,9,10,8,8,7,10,9,4,4,3,7,6,9,9,4,4,3,6,6,2,3,5,6,3,3,10,5,8,2,5,4,4,2,7,9,7,6,3,10,2,6,6,8,9,6,9,2,5,9,10,8,3,10,7,7,2,4,8,8,9
D245Y1,633,02/09/2017,SÁB,5,5,3,2,2,2,2,2,2,2,2,2,2,8,4,10,2,5,3,10,4,3,8,9,5,4,2,9,4,6,10,2,8,2,5,7,5,3,7,3,4,6,3,6,10,3,6,3,5,2,10,7,8,8,10,8,2,7,5,10,9,9,2,4,10,7,4,8,4,3,7,9,9,5,4,10,8,4,8,6,2,4,2,7,9,10,5,4,2,6,9,8,6,9,2,7
D246Y1,1063,03/09/2017,DOM,4,2,4,2,2,2,2,2,2,2,2,2,2,10,6,8,8,2,6,3,5,7,5,5,4,6,5,4,5,6,9,7,4,6,7,6,4,9,4,8,7,4,10,7,6,5,9,7,5,3,10,6,5,7,6,2,3,2,10,7,8,8,7,4,7,10,7,10,8,10,3,7,3,4,2,4,9,6,6,5,9,4,8,4,4,4,3,9,7,4,5,10,3,3,10,3
D247Y1,618,04/09/2017,SEG,2,5,5,2,2,2,2,2,2,2,2,2,2,8,9,6,7,8,9,8,10,6,5,7,10,5,8,2,7,3,2,5,10,7,2,5,9,10,2,7,7,10,8,3,7,9,7,2,8,8,10,5,6,8,5,3,4,8,6,8,2,5,2,9,6,9,4,2,4,8,6,10,5,6,4,4,7,3,3,4,10,5,2,4,8,10,7,5,8,5,7,8,2,2,2,7
D248Y1,1020,05/09/2017,TER,3,2,5,2,2,2,2,2,2,2,2,2,2,9,7,5,9,6,2,5,3,9,7,6,10,3,7,5,4,10,2,3,5,5,3,8,8,2,2,4,2,7,5,3,10,8,6,10,6,8,2,4,10,8,9,5,5,10,8,8,7,9,5,3,8,10,8,3,3,7,6,5,2,3,3,5,8,6,4,3,9,8,6,3,9,8,8,3,3,9,3,4,6,2,8,6
D249Y1,968,06/09/2017,QUA,4,4,2,2,2,2,2,2,2,2,2,2,2,8,4,6,6,5,6,2,2,4,7,4,7,6,3,7,4,7,2,5,10,5,3,2,10,8,3,2,9,6,8,3,2,6,3,6,3,8,6,9,4,5,2,8,9,4,8,7,8,6,9,8,8,9,3,6,8,4,5,3,8,5,2,4,5,10,4,5,3,10,9,9,6,10,4,4,2,10,6,9,5,6,10,5
D250Y1,951,07/09/2017,QUI,2,3,3,2,2,2,2,2,2,2,2,2,2,2,9,3,10,8,2,6,7,9,7,10,6,8,8,6,10,7,5,10,5,7,8,7,6,4,5,9,10,10,9,4,3,6,6,2,2,7,7,9,8,10,5,7,9,6,8,3,9,9,5,9,10,7,6,6,3,3,2,4,8,2,3,6,4,8,10,5,5,6,8,4,4,7,2,9,8,10,5,2,7,2,5,10
D251Y1,728,08/09/2017,SEX,3,2,3,2,2,2,2,2,2,2,2,2,2,8,4,5,3,5,9,5,4,3,10,3,8,5,5,2,4,5,6,2,4,4,7,4,9,6,7,5,8,8,10,8,7,4,5,10,9,5,5,7,5,6,5,2,5,7,8,7,9,9,9,4,9,2,4,6,8,2,4,10,4,7,7,6,6,7,5,6,7,2,2,8,9,3,10,4,3,9,7,9,6,4,2,3
D252Y1,798,09/09/2017,SÁB,2,4,2,2,2,2,2,2,2,2,2,2,2,10,7,5,2,8,2,6,7,7,4,8,6,9,2,4,7,7,2,8,2,3,3,3,10,5,3,5,8,6,8,3,8,5,8,7,10,10,4,7,7,4,7,9,7,6,7,6,4,4,5,5,6,8,9,2,10,10,10,2,10,4,7,3,7,3,9,2,10,8,7,3,3,4,6,4,9,10,5,10,4,2,5,7
D253Y1,780,10/09/2017,DOM,4,5,4,2,2,2,2,2,2,2,2,2,2,6,4,8,5,2,8,6,9,10,10,7,6,3,9,8,3,7,6,5,6,2,9,7,4,10,10,5,8,6,10,6,5,4,8,9,4,6,4,8,7,5,8,2,9,3,7,8,4,7,7,6,2,10,2,6,5,9,6,3,9,7,9,6,6,7,2,6,8,8,5,9,6,3,10,8,6,10,9,9,6,10,8,2
D254Y1,635,11/09/2017,SEG,4,3,4,2,2,2,2,2,2,2,2,2,2,9,5,6,10,6,10,9,8,4,2,7,6,7,7,2,8,6,3,8,4,2,8,6,6,5,9,5,7,8,7,3,5,6,8,4,10,5,10,6,10,3,7,3,2,7,8,9,4,7,6,10,4,10,10,8,3,9,10,6,5,6,3,5,5,9,7,3,4,2,2,9,6,9,5,4,2,5,7,5,2,2,3,2
D255Y1,959,12/09/2017,TER,3,5,2,2,2,2,2,2,2,2,2,2,2,3,7,6,8,9,6,4,7,4,4,6,10,3,4,6,7,7,4,7,5,5,6,7,5,3,4,5,7,7,8,3,4,6,2,6,8,9,2,2,9,2,7,4,2,7,9,6,10,4,8,2,4,5,6,9,7,2,5,2,4,5,7,2,4,10,9,2,8,8,7,10,6,3,9,4,5,3,3,6,3,6,3,9
D256Y1,1091,13/09/2017,QUA,5,5,2,2,2,2,2,2,2,2,2,2,2,7,5,9,4,9,4,10,7,4,8,8,9,4,8,9,10,8,2,4,5,2,3,8,10,2,3,8,4,6,6,3,6,5,6,6,8,7,9,6,6,4,8,3,3,3,7,4,8,7,4,6,3,9,9,4,7,9,4,5,7,6,8,10,4,6,7,8,5,3,10,8,6,6,5,6,5,4,6,6,5,2,4,4
D257Y1,594,14/09/2017,QUI,4,5,5,2,2,2,2,2,2,2,2,2,2,8,5,9,8,10,9,6,2,8,4,10,2,6,5,4,5,2,2,10,3,5,7,5,8,9,4,6,8,7,5,2,3,10,3,4,6,10,2,5,3,7,3,4,9,6,8,6,3,3,5,2,7,9,8,6,6,6,10,4,4,2,9,6,9,4,8,2,6,6,4,9,5,8,5,10,3,2,8,3,9,6,6,10
D258Y1,586,15/09/2017,SEX,4,2,3,2,2,2,2,2,2,2,2,2,2,3,9,9,2,2,3,7,3,2,4,5,3,7,9,8,6,3,3,6,10,3,4,2,2,5,10,4,9,4,7,7,8,5,5,10,3,7,7,10,6,2,10,7,4,4,4,7,4,10,8,7,3,9,9,5,9,5,6,8,2,10,5,10,2,10,8,6,2,6,2,10,9,4,4,7,3,4,5,5,7,5,5,5
D259Y1,869,16/09/2017,SÁB,3,5,3,2,2,2,2,2,2,2,2,2,2,6,4,3,9,2,4,3,3,6,8,8,9,4,9,2,9,4,7,3,9,8,8,6,6,4,10,5,2,9,7,3,3,5,6,6,3,3,4,7,5,5,4,2,7,2,5,8,9,8,4,9,7,5,3,8,9,4,2,4,3,3,8,4,9,6,3,7,4,8,3,7,4,2,6,2,4,3,8,6,3,6,9,6
D260Y1,707,17/09/2017,DOM,5,5,5,2,2,2,2,2,2,2,2,2,2,8,10,6,2,2,4,8,6,10,6,2,4,9,7,4,8,6,4,3,10,8,8,5,7,5,9,8,3,2,7,6,8,6,4,9,9,7,6,5,3,6,6,8,10,5,6,9,2,6,8,2,4,4,8,9,9,5,6,9,3,9,10,2,8,5,4,7,2,4,6,10,8,6,5,2,3,7,9,6,3,2,6,4
D261Y1,776,18/09/2017,SEG,2,4,2,2,2,2,2,2,2,2,2,2,2,8,8,7,9,7,9,5,7,5,8,3,9,9,5,8,10,10,3,4,9,5,5,9,6,8,5,3,3,7,10,4,9,5,4,7,6,5,8,2,2,6,3,10,4,3,4,5,8,2,2,3,10,7,2,5,4,3,5,4,6,5,4,7,6,4,8,4,8,2,10,10,3,3,3,6,5,2,5,9,7,5,4,9
D262Y1,1092,19/09/2017,TER,5,2,3,2,2,2,2,2,2,2,2,2,2,2,6,7,8,3,8,2,4,9,10,3,7,6,2,7,10,5,7,3,9,6,2,2,4,3,7,5,9,7,6,10,6,4,10,5,9,2,10,9,4,7,4,3,10,3,4,5,9,10,6,6,5,8,6,3,9,5,2,7,2,9,3,4,5,7,10,10,2,10,7,6,2,5,3,3,5,5,9,2,3,5,4,4
D263Y1,925,20/09/2017,QUA,2,5,5,2,2,2,2,2,2,2,2,2,2,4,7,4,6,3,2,6,8,10,10,3,5,6,2,5,5,8,7,2,6,7,2,7,3,6,5,8,9,9,5,6,8,5,6,5,4,8,4,4,5,6,10,6,7,6,8,4,4,4,5,9,3,2,3,5,3,7,2,3,9,8,3,4,10,9,5,3,3,10,7,9,9,2,2,2,6,4,10,5,3,6,9,4
D264Y1,683,21/09/2017,QUI,3,4,2,2,2,2,2,2,2,2,2,2,2,10,6,8,6,9,9,5,6,10,9,10,3,10,9,4,9,4,4,6,2,4,7,10,9,8,10,9,3,8,8,5,10,10,2,10,4,9,5,10,3,8,6,4,3,2,10,8,3,2,5,5,6,9,10,2,2,4,10,9,8,8,4,2,5,9,6,8,3,7,4,8,5,4,9,9,10,6,4,5,6,3,4,7
D265Y1,1069,22/09/2017,SEX,4,2,4,2,2,2,2,2,2,2,2,2,2,9,8,7,3,5,9,6,7,2,5,8,10,3,9,3,5,9,3,4,2,6,10,3,10,9,6,7,9,8,8,8,10,2,2,2,5,10,9,6,4,6,8,6,4,4,6,8,10,6,5,9,9,2,8,4,8,6,4,5,7,6,10,10,3,8,6,6,3,8,9,5,7,4,7,6,10,5,10,9,3,5,9,7
D266Y1,559,23/09/2017,SÁB,5,4,4,2,2,2,2,2,2,2,2,2,2,10,10,9,2,2,3,7,5,3,8,2,3,10,9,9,3,2,9,4,2,2,6,5,8,6,3,9,9,10,6,4,5,8,2,6,4,5,4,5,4,9,5,4,6,3,7,9,10,10,6,6,6,4,4,8,2,2,2,4,9,5,5,8,10,3,7,8,5,5,10,5,9,6,2,10,4,7,4,9,4,9,2,6
D267Y1,1142,24/09/2017,DOM,5,2,2,2,2,2,2,2,2,2,2,2,2,10,8,4,5,5,8,5,10,3,2,4,9,9,4,6,10,5,8,2,5,7,3,5,10,9,10,4,3,6,10,8,5,4,7,7,2,8,6,8,6,3,8,3,2,10,8,8,2,5,7,10,5,4,9,9,8,8,3,9,2,4,7,4,3,3,8,8,9,4,2,3,8,8,6,6,4,9,2,3,4,5,3,5
